,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
10,Thermaltake（Tt）CL-W316-PL36SW-A,100016460200,,2.205kg,,中国大陆,,360冷排,飓风s360,68.04,,25mm,4pin,120x120x25mm,水冷,1800,12V,一体式水冷散热器,,ARGB,TT,33.16,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，AMDTR4，AMDAM4,,,,
11,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
12,,10343697212,,,,,,,,,,,,,,,,,,,,,,,,,
13,微星MAGCORELIQUID360R,100013509026,,2.31kg,,中国大陆,,360冷排,,,,27mm,3pin,394x120x27mm,水冷,500~2000RPM,12V,一体式水冷散热器,宽度大于210mm,ARGB,,,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋,,,,
14,武极定制12CM炫光18灯LED风扇台式电脑主机降温机箱风扇VTG-RGB赤魂默认1,11258297291,武极电脑DIY旗舰店,100.00g,,,,,,,,5mm,4pin,0,风冷,0,12v,,,,,,,,,,
15,赤核RX-0360一体式水冷,100018845214,,2.085kg,,中国大陆,,360冷排,高达联名独角兽款360一体式水冷,35.8（MAX）,铝质水冷排,53mm,3pin,395X120x27(mm),水冷,800-1600RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,赤核,27（MAX）,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,,,,
16,安耐美虹彩晶凌240-RGB,100010636452,,1.835kg,,中国大陆,2热管,240冷排,LIQMAXIII240-RGB,22.5-72.1CFM,铝,25mm,4pin,274x120x27毫米,水冷,"500-1,600RPM",12V,一体式水冷散热器,ITX机箱,RGB,一体式水冷散热器,14-27分贝（A）,INTELLGA2066，INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋，整合CPU主板,金属,Intel平台散热器,回流焊工艺,铜底焊接
17,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
18,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
19,鑫谷冰酷240S多彩版,100002748626,,1.63kg,,中国大陆,,240冷排,冰酷240S多彩版,,铝,47mm,4pin,270x120x25mm,水冷,800-1800RPM（±10%）,12VDC,一体式水冷散热器,,RGB,,,,塑料,Intel平台散热器,,铜底焊接
20,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
21,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
22,华硕ROG龙神240,100001516122,,2.335kg,,中国大陆,,240冷排,华硕（ASUS）ROG龙神240一体式CPU水冷散热器,121.8,,70mm,4pin,272x121x27,水冷,450~2000,5V/12V,一体式水冷散热器,,ARGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
